cte	speed	angle	d_error	i_error	p_error	steering_angle	throttle	
0.5741	7.5647	-3.9209	0.0	103.5009	0.5741	-0.2183209	0.5816791	
0.5664	7.7015	-3.8823	-0.00770000000000004	104.0673	0.5664	-0.1711473	0.6288527	
0.5664	7.7015	-3.8823	0.0	104.6337	0.5664	-0.2179137	0.5820863	
0.5585	7.8384	-3.8424	-0.00790000000000002	105.1922	0.5585	-0.1694922	0.6305078	
0.5585	7.8384	-3.8424	0.0	105.7507	0.5585	-0.2174507	0.5825493	
0.5504	7.9753	-3.801	-0.0081	106.3011	0.5504	-0.1677811	0.6322189	
0.5418	8.1024	-4.9999	-0.00860000000000005	106.8429	0.5418	-0.1636029	0.6363971	
0.5418	8.1024	-4.9999	0.0	107.3847	0.5418	-0.2157447	0.5842553	
0.5331	8.237	-3.6537	-0.00869999999999993	107.9178	0.5331	-0.1623378	0.6376622	
0.5331	8.237	-3.6537	0.0	108.4509	0.5331	-0.2150709	0.5849291	
0.5242	8.375	-3.6221	-0.00890000000000002	108.9751	0.5242	-0.1604151	0.6395849	
0.5242	8.375	-3.6221	0.0	109.4993	0.5242	-0.2143393	0.5856607	
0.515	8.5131	-3.574	-0.00919999999999999	110.0143	0.515	-0.1578143	0.6421857	
0.5054	8.6403	-4.9222	-0.00960000000000005	110.5197	0.5054	-0.1539997	0.6460003	
0.5054	8.6403	-4.9222	0.0	111.0251	0.5054	-0.2121051	0.5878949	
0.4957	8.7756	-3.4137	-0.00969999999999999	111.5208	0.4957	-0.1524608	0.6475392	
0.4957	8.7756	-3.4137	0.0	112.0165	0.4957	-0.2111565	0.5888435	
0.4857	8.9149	-3.3752	-0.00999999999999995	112.5022	0.4857	-0.1496422	0.6503578	
0.4857	8.9149	-3.3752	0.0	112.9879	0.4857	-0.2101279	0.5898721	
0.4756	9.0544	-3.3047	-0.0101	113.4635	0.4756	-0.1479835	0.6520165	
0.4756	9.0544	-3.3047	0.0	113.9391	0.4756	-0.2090591	0.5909409	
0.4652	9.1942	-3.2633	-0.0104	114.4043	0.4652	-0.1450443	0.6549557	
0.4652	9.1942	-3.2633	0.0	114.8695	0.4652	-0.2079095	0.5920905	
0.4546	9.3342	-3.1898	-0.0106	115.3241	0.4546	-0.1426441	0.6573559	
0.4434	9.462	-4.7614	-0.0112	115.7675	0.4434	-0.1372475	0.6627525	
0.4434	9.462	-4.7614	0.0	116.2109	0.4434	-0.2048909	0.5951091	
0.4323	9.5985	-2.9949	-0.0111	116.6432	0.4323	-0.1365032	0.6634968	
0.4323	9.5985	-2.9949	0.0	117.0755	0.4323	-0.2035355	0.5964645	
0.4216	9.74	-2.9762	-0.0107	117.4971	0.4216	-0.1376171	0.6623829	
0.4216	9.74	-2.9762	0.0	117.9187	0.4216	-0.2022387	0.5977613	
0.4113	9.881	-3.0041	-0.0103	118.33	0.4113	-0.13879	0.66121	
0.4113	9.881	-3.0041	0.0	118.7413	0.4113	-0.2010013	0.5989987	
0.4017	10.0215	-3.0334	-0.0096	119.143	0.4017	-0.141883	0.658117	
0.4017	10.0215	-3.0334	0.0	119.5447	0.4017	-0.1998847	0.6001153	
0.3932	10.1609	-3.1107	-0.00850000000000001	119.9379	0.3932	-0.1475779	0.6524221	
0.3932	10.1609	-3.1107	0.0	120.3311	0.3932	-0.1989711	0.6010289	
0.3864	10.2988	-3.2531	-0.00679999999999997	120.7175	0.3864	-0.1571975	0.6428025	
0.3864	10.2988	-3.2531	0.0	121.1039	0.3864	-0.1983839	0.6016161	
0.3818	10.4343	-3.4936	-0.00460000000000005	121.4857	0.3818	-0.1702457	0.6297543	
0.3685	10.5609	-4.5233	-0.0133	121.8542	0.3685	-0.1157542	0.6842458	
0.3685	10.5609	-4.5233	0.0	122.2227	0.3685	-0.1959227	0.6040773	
0.3567	10.6988	-2.4575	-0.0118	122.5794	0.3567	-0.1231194	0.6768806	
0.3432	10.8288	-4.4617	-0.0135	122.9226	0.3432	-0.1105626	0.6894374	
0.2641	11.4138	-2.6417	-0.0791	123.1867	0.2641	0.2985933	0.5014067	
0.2537	11.8846	-2.3277	-0.0104	123.4404	0.2537	-0.1117804	0.6882196	
0.2453	12.0326	7.9012	-0.00839999999999999	123.6857	0.2453	-0.1223457	0.6776543	
0.2453	12.0326	7.9012	0.0	123.931	0.2453	-0.172991	0.627009	
0.2364	12.0981	-2.6223	-0.00889999999999999	124.1674	0.2364	-0.1180474	0.6819526	
0.2265	12.299	-3.8884	-0.00989999999999999	124.3939	0.2265	-0.1102939	0.6897061	
0.2265	12.299	-3.8884	0.0	124.6204	0.2265	-0.1699204	0.6300796	
0.2165	12.2076	-2.321	-0.01	124.8369	0.2165	-0.1081369	0.6918631	
0.2056	12.3816	-3.8117	-0.0109	125.0425	0.2056	-0.1007625	0.6992375	
0.1941	12.8799	-2.2671	-0.0115	125.2366	0.1941	-0.0950565999999999	0.7049434	
0.1941	12.8799	-2.2671	0.0	125.4307	0.1941	-0.1642507	0.6357493	
0.1829	12.4157	-1.9401	-0.0112	125.6136	0.1829	-0.0949936	0.7050064	
0.1708	12.9072	-3.6699	-0.0121	125.7844	0.1708	-0.0873443999999999	0.7126556	
0.1708	12.9072	-3.6699	0.0	125.9552	0.1708	-0.1601152	0.6398848	
0.1584	13.1505	-1.7473	-0.0124	126.1136	0.1584	-0.0833936	0.7166064	
0.1584	13.1505	-1.7473	0.0	126.272	0.1584	-0.157952	0.642048	
0.1461	13.0435	-1.6485	-0.0123	126.4181	0.1461	-0.0818380999999999	0.7181619	
0.1461	13.0435	-1.6485	0.0	126.5642	0.1461	-0.1557842	0.6442158	
0.1336	13.2326	-1.6096	-0.0125	126.6978	0.1336	-0.0784177999999999	0.7215822	
0.1336	13.2326	-1.6096	0.0	126.8314	0.1336	-0.1535514	0.6464486	
0.1205	13.7145	-1.5241	-0.0131	126.9519	0.1205	-0.0724518999999999	0.7275481	
0.1075	13.3251	-3.4025	-0.013	127.0594	0.1075	-0.0705594	0.7294406	
